	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen
	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	Male	Male	Male	Male	Female	Female	Female	Female	Male	Male	Male	Male	Female	Female	Female	Female
	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu
VARIABLES		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum
																								
male	0.344***	0.362***	0.345***	0.361***	0.276***	0.283***	0.279***	0.287***																
provincedum12		-0.156		-0.159		-0.229		-0.271*		-0.0192		-0.0283		-0.611		-0.582		-0.347		-0.385*		-0.0312		-0.0885
		(0.450)		(0.437)		(0.149)		(0.0851)		(0.936)		(0.905)		(0.144)		(0.159)		(0.114)		(0.0752)		(0.900)		(0.720)
provincedum13		-0.210		-0.215		-0.261*		-0.297**		-0.0773		-0.0637		-0.684		-0.651		-0.260		-0.290		-0.273		-0.323*
		(0.303)		(0.290)		(0.0541)		(0.0275)		(0.738)		(0.782)		(0.117)		(0.130)		(0.203)		(0.152)		(0.133)		(0.0747)
provincedum14		-0.0959		-0.0916		-0.272*		-0.305**		-0.0737		-0.0707		-0.554		-0.505		-0.345		-0.384*		-0.224		-0.247
		(0.674)		(0.687)		(0.0665)		(0.0386)		(0.787)		(0.795)		(0.232)		(0.269)		(0.122)		(0.0811)		(0.258)		(0.210)
provincedum15		-0.0577		-0.0640		-0.359***		-0.394***		0.0300		0.0287		-0.448		-0.413		-0.348*		-0.378*		-0.404**		-0.451**
		(0.805)		(0.783)		(0.00930)		(0.00405)		(0.911)		(0.914)		(0.378)		(0.411)		(0.0861)		(0.0597)		(0.0359)		(0.0186)
m1	-0.286***	-0.274	-0.282***	-0.273	-0.403	0.166	-0.289	0.326	-0.130	-0.255	-0.152	-0.293	-0.493***	0.0131	-0.463**	0.0109	-0.259	0.344	-0.160	0.481	-0.407	0.00540	-0.281	0.223
	(0.00713)	(0.199)	(0.00692)	(0.196)	(0.145)	(0.659)	(0.292)	(0.380)	(0.321)	(0.317)	(0.242)	(0.248)	(0.00834)	(0.973)	(0.0111)	(0.977)	(0.466)	(0.503)	(0.649)	(0.339)	(0.363)	(0.993)	(0.527)	(0.696)
m2	-0.0244	-0.0660	-0.0254	-0.0583	0.0146	-0.105	0.0180	-0.113	0.188	0.366	0.209	0.400	-0.242	-1.544	-0.255	-1.501	0.0944	-0.101	0.0992	-0.109	-0.0898	-0.109	-0.0875	-0.118
	(0.927)	(0.888)	(0.924)	(0.900)	(0.872)	(0.355)	(0.843)	(0.319)	(0.538)	(0.470)	(0.492)	(0.426)	(0.713)	(0.272)	(0.694)	(0.280)	(0.398)	(0.497)	(0.374)	(0.464)	(0.563)	(0.547)	(0.572)	(0.514)
m3	0.0195	0.107	0.0189	0.108	-0.222	-0.213	-0.203	-0.195	-0.00464	0.140	0.00219	0.139	0.128	-0.0622	0.126	-0.0636	-0.149	-0.0329	-0.118	-0.0126	-0.326	-0.476	-0.324	-0.440
	(0.892)	(0.482)	(0.894)	(0.477)	(0.277)	(0.327)	(0.321)	(0.371)	(0.975)	(0.387)	(0.988)	(0.392)	(0.839)	(0.939)	(0.840)	(0.936)	(0.570)	(0.908)	(0.651)	(0.965)	(0.315)	(0.173)	(0.317)	(0.207)
higheredu			0.00357	-0.0461			0.0702	0.0805			-0.162	-0.203			0.200	0.118			-0.0411	-0.0289			0.361**	0.358**
			(0.981)	(0.760)			(0.432)	(0.367)			(0.409)	(0.297)			(0.406)	(0.621)			(0.691)	(0.783)			(0.0465)	(0.0469)
highereduafter79			0.101	0.149			0.141	0.128			0.379*	0.439**			-0.270	-0.154			0.241**	0.206*			-0.124	-0.0743
			(0.559)	(0.387)			(0.164)	(0.206)			(0.0908)	(0.0489)			(0.331)	(0.579)			(0.0449)	(0.0871)			(0.530)	(0.707)
Constant	7.773***	7.532***	7.768***	7.547***	7.762***	8.050***	7.865***	8.174***	7.820***	7.848***	7.862***	7.939***	8.276***	6.621***	8.235***	6.641***	8.030***	8.276***	8.094***	8.359***	7.745***	8.017***	7.921***	8.244***
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(3.86e-07)	(0)	(2.70e-07)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
																								
Observations	631	631	631	631	1,206	1,206	1,206	1,206	402	402	402	402	229	229	229	229	746	746	746	746	460	460	460	460
R-squared	0.095	0.149	0.095	0.148	0.074	0.107	0.066	0.101	0.055	0.150	0.051	0.142	0.049	0.144	0.044	0.140	0.023	0.061	0.017	0.057	0.072	0.139	0.060	0.126
Hettest: p-value	0.0448	2.81e-07	0.0489	2.60e-07	0.469	0.267	0.901	0.117	0.145	2.19e-07	0.200	2.45e-07	0.000577	4.08e-07	0.00253	7.12e-07	0.164	0.00400	0.00306	0.00113	0.125	0.119	0.0521	0.110
Hettest: df	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pval in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
